model,seed,bucket,recall_at_5,users
lightgcn_k3,5,head,0.5874418604651163,215
lightgcn_k3,6,tail,0.3034013605442177,196
lightgcn_k3,6,lower-mid,0.4256345177664974,197
lightgcn_k3,6,upper-mid,0.503030303030303,220
lightgcn_k3,6,head,0.6142303433001108,215
lightgcn_k3,7,tail,0.3131802721088436,196
lightgcn_k3,7,lower-mid,0.42817258883248727,197
lightgcn_k3,7,upper-mid,0.5252597402597402,220
lightgcn_k3,7,head,0.60437430786268,215
lightgcn_k3,8,tail,0.3053571428571429,196
lightgcn_k3,8,lower-mid,0.4274957698815567,197
lightgcn_k3,8,upper-mid,0.503452380952381,220
lightgcn_k3,8,head,0.5989922480620155,215
lightgcn_k3,9,tail,0.2951530612244898,196
lightgcn_k3,9,lower-mid,0.4076142131979696,197
lightgcn_k3,9,upper-mid,0.47938852813852817,220
lightgcn_k3,9,head,0.6150719822812847,215
lightgcn_k3,10,tail,0.3140306122448979,196
lightgcn_k3,10,lower-mid,0.405668358714044,197
lightgcn_k3,10,upper-mid,0.5027705627705628,220
lightgcn_k3,10,head,0.6039867109634554,215
lightgcn_k3,11,tail,0.3238095238095238,196
lightgcn_k3,11,lower-mid,0.4130287648054145,197
lightgcn_k3,11,upper-mid,0.511969696969697,220
lightgcn_k3,11,head,0.6021705426356591,215
lightgcn_k3,12,tail,0.3134353741496599,196
lightgcn_k3,12,lower-mid,0.420896785109983,197
lightgcn_k3,12,upper-mid,0.5000432900432901,220
lightgcn_k3,12,head,0.5948062015503877,215
lightgcn_k3,13,tail,0.318452380952381,196
lightgcn_k3,13,lower-mid,0.40609137055837563,197
lightgcn_k3,13,upper-mid,0.5226190476190476,220
lightgcn_k3,13,head,0.6020487264673312,215
lightgcn_k3,14,tail,0.2971938775510204,196
lightgcn_k3,14,lower-mid,0.4251269035532995,197
lightgcn_k3,14,upper-mid,0.5338311688311689,220
lightgcn_k3,14,head,0.5954595791805094,215
lightgcn_k3,15,tail,0.29923469387755103,196
lightgcn_k3,15,lower-mid,0.3977157360406091,197
lightgcn_k3,15,upper-mid,0.5032251082251082,220
lightgcn_k3,15,head,0.6115171650055371,215
lightgcn_k3,16,tail,0.3038265306122449,196
lightgcn_k3,16,lower-mid,0.42098138747884944,197
lightgcn_k3,16,upper-mid,0.5313257575757576,220
lightgcn_k3,16,head,0.6150387596899225,215
lightgcn_k3,17,tail,0.2974489795918367,196
lightgcn_k3,17,lower-mid,0.42174280879864634,197
lightgcn_k3,17,upper-mid,0.5332251082251082,220
lightgcn_k3,17,head,0.6090254706533776,215
lightgcn_k3,18,tail,0.30994897959183676,196
lightgcn_k3,18,lower-mid,0.4196277495769882,197
lightgcn_k3,18,upper-mid,0.5141666666666667,220
